spikeRate,correctOrIncorrect,mouseID,plusOrMinus,spikeRateForWholeRec
0,1,6026,1,0.00148527843406786
0.0625,1,6026,1,0.0252497333791536
0.09375,1,6026,1,0.0698080864011893
0.03125,1,6026,1,0.00297055686813571
0,1,6026,1,0.0386172392857643
0,1,6026,1,0.00445583530220357
0.03125,1,6026,1,0.00891167060440715
0.03125,1,6026,1,0.0995136550825464
0.25,1,6026,1,0.246556220055264
0.125,1,6026,1,0.2079389807695
0.1875,1,6026,1,0.230218157280518
0.125,1,6026,1,0.133675059066107
0,1,6026,1,0.0252497333791536
0.03125,1,6026,1,0.0237644549450857
0.15625,1,6026,1,0.1247633884617
0.0625,1,6026,1,0.0816903138737322
0.1875,1,6026,1,0.184174525824414
0.1875,1,6026,1,0.218335929807975
0.15625,1,6026,1,0.147042564972718
0.125,1,6026,1,0.0712933648352572
0,1,6026,1,0.0118822274725429
0,1,6026,1,0.072778643269325
0.40625,1,6026,1,0.0816903138737322
0.15625,1,6026,1,0.0757492001374607
0.03125,1,6026,1,0.0638669726649179
0.03125,1,6026,1,0.0445583530220357
